t,active,mean_speed,speed_unit,slow_frac,score,level
0.0,75,11.0,km/h,0.441,0.533,MEDIUM
2.0,86,11.1,km/h,0.446,0.558,MEDIUM
4.0,87,11.1,km/h,0.454,0.565,MEDIUM
6.0,89,10.3,km/h,0.457,0.584,MEDIUM
8.0,85,10.1,km/h,0.473,0.585,MEDIUM
10.0,77,9.9,km/h,0.485,0.576,MEDIUM
12.0,80,10.1,km/h,0.486,0.58,MEDIUM
14.0,79,9.1,km/h,0.534,0.615,HIGH
16.0,76,9.1,km/h,0.547,0.616,HIGH
18.0,75,9.5,km/h,0.529,0.598,MEDIUM
20.0,73,9.9,km/h,0.507,0.577,MEDIUM
22.0,73,9.9,km/h,0.534,0.59,MEDIUM
24.0,69,9.7,km/h,0.551,0.592,MEDIUM
26.0,69,9.2,km/h,0.566,0.605,HIGH
28.0,67,9.7,km/h,0.563,0.593,MEDIUM
30.0,61,9.2,km/h,0.566,0.588,MEDIUM
32.0,64,9.2,km/h,0.58,0.601,HIGH
34.0,72,8.2,km/h,0.599,0.645,HIGH
36.0,66,8.9,km/h,0.55,0.597,MEDIUM
38.0,65,8.8,km/h,0.587,0.613,HIGH
40.0,73,8.7,km/h,0.597,0.638,HIGH
42.0,75,8.7,km/h,0.541,0.616,HIGH
44.0,74,8.8,km/h,0.539,0.613,HIGH
46.0,73,8.7,km/h,0.545,0.614,HIGH
48.0,75,8.7,km/h,0.508,0.601,HIGH
50.0,79,8.7,km/h,0.514,0.613,HIGH
52.0,74,7.8,km/h,0.554,0.635,HIGH
54.0,73,8.7,km/h,0.502,0.595,MEDIUM
56.0,73,9.6,km/h,0.456,0.559,MEDIUM
58.0,69,9.7,km/h,0.458,0.549,MEDIUM
