sector,road_users,frame_of_reference
WNW,129,compass (telemetry-calibrated)
ESE,42,compass (telemetry-calibrated)
NW,27,compass (telemetry-calibrated)
S,21,compass (telemetry-calibrated)
SW,21,compass (telemetry-calibrated)
SE,20,compass (telemetry-calibrated)
SSW,20,compass (telemetry-calibrated)
W,19,compass (telemetry-calibrated)
ENE,18,compass (telemetry-calibrated)
N,18,compass (telemetry-calibrated)
WSW,18,compass (telemetry-calibrated)
NNW,16,compass (telemetry-calibrated)
E,15,compass (telemetry-calibrated)
NE,12,compass (telemetry-calibrated)
SSE,10,compass (telemetry-calibrated)
NNE,9,compass (telemetry-calibrated)
