event_type,track_id,secondary_track_id,timestamp,duration,x,y,severity,value,unit,description
against_dominant_flow,6.0,,0.0,4.04,626.3,737.6,high,175.6,deg from local flow,"lgv #6 moved 176 deg against the dominant local flow for 116.0 observations (flow anomaly, not a confirmed violation)"
against_dominant_flow,19.0,,0.0,1.83,1505.1,1015.7,high,165.9,deg from local flow,"car #19 moved 166 deg against the dominant local flow for 55.0 observations (flow anomaly, not a confirmed violation)"
against_dominant_flow,58.0,,0.07,3.1,1410.3,389.3,high,178.3,deg from local flow,"car #58 moved 178 deg against the dominant local flow for 89.0 observations (flow anomaly, not a confirmed violation)"
sudden_stop,64.0,,0.9,,1672.38,92.06,high,-40.3,km/h/s,car #64 decelerated 40 km/h/s at t=0.9s
sudden_stop,54.0,,1.6,,1683.72,96.07,high,-37.9,km/h/s,motorcycle #54 decelerated 38 km/h/s at t=1.6s
potential_conflict,50.0,177.0,1.83,,16.0,-42.8,high,0.21,s (TTC),"Potential conflict (critical): hgv #50 <-> car #177 - projected TTC 0.2s, closest approach 0.8m, closing 21 km/h (crossing)"
potential_conflict,129.0,177.0,1.83,,16.0,-42.8,high,0.22,s (TTC),"Potential conflict (critical): bus #129 <-> car #177 - projected TTC 0.2s, closest approach 0.8m, closing 21 km/h (merging)"
potential_conflict,288.0,329.0,3.5,,17.1,-43.4,high,0.51,s (TTC),"Potential conflict (critical): bus #288 <-> car #329 - projected TTC 0.5s, closest approach 1.0m, closing 24 km/h (head-on)"
potential_conflict,50.0,329.0,3.8,,16.2,-42.9,high,0.22,s (TTC),"Potential conflict (critical): hgv #50 <-> car #329 - projected TTC 0.2s, closest approach 1.0m, closing 20 km/h (crossing)"
queue_formation,,,4.0,2.0,-33.8,11.4,high,37.8,m,"Queue of 13 vehicles, ~38 m long at t=4s"
potential_conflict,17.0,52.0,4.61,,-91.4,-1.1,high,0.73,s (TTC),"Potential conflict (critical): car #17 <-> car #52 - projected TTC 0.7s, closest approach 2.1m, closing 22 km/h (crossing)"
sudden_stop,14.0,,4.8,,696.97,628.7,high,-42.5,km/h/s,car #14 decelerated 43 km/h/s at t=4.8s
potential_conflict,138.0,351.0,5.44,,-22.6,12.0,high,0.42,s (TTC),"Potential conflict (critical): car #138 <-> car #351 - projected TTC 0.4s, closest approach 0.9m, closing 25 km/h (head-on)"
potential_conflict,41.0,433.0,5.51,,-90.7,-1.4,high,0.75,s (TTC),"Potential conflict (critical): car #41 <-> car #433 - projected TTC 0.8s, closest approach 1.8m, closing 30 km/h (merging)"
potential_conflict,269.0,433.0,5.64,,-92.5,-1.1,high,0.39,s (TTC),"Potential conflict (critical): car #269 <-> car #433 - projected TTC 0.4s, closest approach 1.1m, closing 24 km/h (merging)"
sudden_stop,218.0,,5.81,,1607.37,166.17,high,-74.7,km/h/s,motorcycle #218 decelerated 75 km/h/s at t=5.8s
potential_conflict,14.0,25.0,5.84,,-18.4,-28.0,high,0.3,s (TTC),"Potential conflict (critical): car #14 <-> motorcycle #25 - projected TTC 0.3s, closest approach 1.0m, closing 17 km/h (crossing/vulnerable-road-user)"
sudden_stop,41.0,,5.91,,1662.64,104.17,high,-58.6,km/h/s,car #41 decelerated 59 km/h/s at t=5.9s
queue_formation,,,6.0,2.0,-21.4,-16.1,high,82.3,m,"Queue of 41 vehicles, ~82 m long at t=6s"
potential_conflict,14.0,474.0,6.57,,-22.7,-27.2,high,0.29,s (TTC),"Potential conflict (critical): car #14 <-> pedestrian #474 - projected TTC 0.3s, closest approach 0.9m, closing 17 km/h (crossing/vulnerable-road-user)"
potential_conflict,38.0,52.0,7.94,,-90.7,-1.7,high,1.06,s (TTC),"Potential conflict (critical): motorcycle #38 <-> car #52 - projected TTC 1.1s, closest approach 1.5m, closing 22 km/h (crossing/vulnerable-road-user)"
potential_conflict,45.0,189.0,8.07,,-83.2,-2.6,high,0.22,s (TTC),"Potential conflict (critical): motorcycle #45 <-> motorcycle #189 - projected TTC 0.2s, closest approach 0.5m, closing 21 km/h (following/vulnerable-road-user)"
sudden_stop,45.0,,8.11,,1613.59,132.97,high,-36.7,km/h/s,motorcycle #45 decelerated 37 km/h/s at t=8.1s
