leader,follower,gap_m,follower_speed_kph,time_headway_s
1954,1467,0.01,13.4,0.0
1109,1095,0.0,31.8,0.0
1557,1416,0.01,16.8,0.0
356,269,0.03,18.1,0.01
2915,2515,0.11,16.6,0.02
2046,1392,1.46,24.9,0.21
1100,1095,2.06,31.8,0.23
1111,1100,1.49,22.3,0.24
1001,585,1.31,19.6,0.24
329,177,1.39,19.6,0.25
189,45,1.44,20.7,0.25
186,134,1.17,16.2,0.26
269,17,1.61,22.1,0.26
1131,1100,1.81,22.3,0.29
134,113,1.15,14.3,0.29
2320,2305,1.63,19.7,0.3
1347,578,1.69,19.5,0.31
2792,2515,1.41,16.6,0.31
37,13,1.83,20.6,0.32
356,17,1.95,22.1,0.32
631,515,1.05,11.8,0.32
2653,2585,1.57,17.0,0.33
2146,1906,1.95,20.4,0.34
2550,2362,1.62,16.6,0.35
189,125,1.71,17.3,0.36
1896,1864,1.75,16.8,0.37
133,113,1.48,14.3,0.37
279,177,2.1,19.6,0.38
134,3,2.12,19.6,0.39
125,8,2.18,20.0,0.39
2120,2074,1.51,13.6,0.4
188,177,2.17,19.6,0.4
1091,585,2.2,19.6,0.4
40,2,2.38,21.2,0.4
2121,1467,1.51,13.4,0.41
113,3,2.22,19.6,0.41
627,24,2.65,23.2,0.41
1131,1111,2.24,19.9,0.41
1906,1896,2.06,17.6,0.42
52,40,2.29,19.6,0.42
22,13,2.42,20.6,0.42
1895,913,2.39,19.8,0.43
279,188,1.99,16.8,0.43
1111,1109,3.3,27.8,0.43
38,1,2.32,19.5,0.43
52,41,2.36,19.5,0.43
880,631,2.11,17.6,0.43
1622,1467,1.64,13.4,0.44
279,232,2.15,17.7,0.44
2341,2121,0.96,7.6,0.45
1091,177,2.45,19.6,0.45
171,5,2.49,19.8,0.45
218,23,2.36,18.5,0.46
1827,1810,2.3,18.0,0.46
1131,934,2.83,21.5,0.47
578,515,1.53,11.8,0.47
480,232,2.3,17.7,0.47
880,578,2.6,19.5,0.48
40,34,1.37,9.8,0.5
2341,1467,1.87,13.4,0.5
1080,913,2.78,19.8,0.5
2919,2885,3.02,21.4,0.51
1080,934,3.05,21.5,0.51
585,329,3.13,22.3,0.51
1109,1100,3.18,22.3,0.51
2749,2228,1.74,11.9,0.52
8,2,3.04,21.2,0.52
2288,1467,1.93,13.4,0.52
24,14,2.28,15.4,0.53
1985,1957,2.48,16.8,0.53
1131,913,3.0,19.8,0.54
27,21,3.5,23.2,0.54
28,13,3.16,20.6,0.55
269,41,3.02,19.5,0.56
1906,271,1.41,9.0,0.56
2082,1983,3.11,20.1,0.56
186,113,2.24,14.3,0.56
329,232,2.75,17.7,0.56
1906,1864,2.67,16.8,0.57
2516,1827,2.28,14.3,0.57
934,271,1.44,9.0,0.57
627,22,3.7,23.3,0.57
1654,1601,2.68,16.6,0.58
2749,2515,2.73,16.6,0.59
2600,2585,2.76,17.0,0.59
913,271,1.48,9.0,0.59
2915,2082,1.96,11.8,0.6
480,329,3.83,22.3,0.62
2796,2560,1.64,9.6,0.62
1095,934,3.71,21.5,0.62
2653,2646,2.81,16.1,0.63
1080,631,3.16,17.6,0.64
2199,1654,3.29,18.0,0.66
2550,1734,2.73,14.9,0.66
41,23,3.47,18.5,0.67
585,177,3.63,19.6,0.67
1131,631,3.28,17.6,0.67
880,515,2.24,11.8,0.69
2515,2082,2.24,11.8,0.69
1001,325,2.65,13.8,0.69
1622,1407,1.9,9.9,0.69
2595,1957,3.38,16.8,0.72
1802,1734,3.02,14.9,0.73
1654,1293,2.02,10.0,0.73
934,515,2.4,11.8,0.73
1095,913,4.02,19.8,0.73
1983,1734,3.02,14.9,0.73
2362,2033,1.66,8.0,0.74
1896,1734,3.09,14.9,0.75
2120,1952,2.12,10.1,0.75
2305,1293,2.1,10.0,0.76
177,87,4.49,21.4,0.76
480,177,4.13,19.6,0.76
2130,1287,1.5,7.0,0.77
1957,1827,3.1,14.3,0.78
40,37,5.15,22.9,0.81
1095,631,4.01,17.6,0.82
38,23,4.3,18.5,0.83
773,585,4.59,19.6,0.84
1734,1407,2.33,9.9,0.85
2550,1906,4.91,20.4,0.86
1094,937,3.18,13.1,0.88
869,774,3.38,13.5,0.9
1957,1952,2.52,10.1,0.9
934,913,5.08,19.8,0.92
2362,1906,5.42,20.4,0.95
37,2,5.63,21.2,0.96
2595,1025,1.69,6.2,0.98
722,8,5.47,20.0,0.98
1622,693,2.89,10.4,1.0
52,8,5.73,20.0,1.03
1906,1734,4.28,14.9,1.03
2074,1952,2.89,10.1,1.03
1983,1864,5.21,16.8,1.11
1091,325,4.34,13.8,1.13
40,8,6.36,20.0,1.14
2120,1985,5.19,16.0,1.17
1262,869,3.54,10.7,1.19
2792,2749,6.77,20.3,1.2
2510,2341,3.33,9.9,1.21
2550,271,3.14,9.0,1.25
1467,915,3.63,10.2,1.28
585,480,8.88,24.8,1.29
189,1,6.97,19.5,1.29
1983,271,3.29,9.0,1.31
1954,915,3.79,10.2,1.34
585,279,9.09,22.5,1.46
1347,631,8.0,17.6,1.63
1954,271,4.25,9.0,1.69
775,627,8.71,18.0,1.74
1202,1154,6.81,14.1,1.74
480,188,8.17,16.8,1.75
34,22,11.28,23.3,1.75
1712,1392,12.24,24.9,1.77
22,6,2.98,6.0,1.78
564,271,4.61,9.0,1.84
37,22,11.97,23.3,1.85
2362,271,4.73,9.0,1.88
306,24,12.36,23.2,1.91
585,325,7.85,13.8,2.05
2515,2228,7.77,11.9,2.34
1985,1952,7.03,10.1,2.5
1896,1287,4.91,7.0,2.52
1086,578,14.43,19.5,2.67
1690,631,13.43,17.6,2.74
1802,1287,5.44,7.0,2.79
91,22,19.17,23.3,2.97
28,24,20.01,23.2,3.1
1793,1467,12.91,13.4,3.46
2534,2305,23.79,19.7,4.34
1086,631,22.55,17.6,4.6
2305,2146,5.81,3.1,6.83
2325,2121,23.34,7.6,11.04
