track_a,track_b,class_a,class_b,t,ttc_s,d_cpa,min_distance,closing_speed,approach_speed,interaction_type,involves_vulnerable,unit,x,y,frames_triggered,conflict_grade,severity
480,901,car,motorcycle,13.21,0.2,1.26,1.87,18.2,24.7,head-on/vulnerable-road-user,True,m,-27.3,-23.7,8,critical,high
50,177,hgv,car,1.83,0.21,0.83,1.67,21.1,24.4,crossing,False,m,16.0,-42.8,22,critical,high
325,1305,motorcycle,car,23.42,0.21,1.37,1.78,12.3,19.2,crossing/vulnerable-road-user,True,m,-92.8,-0.9,8,critical,high
480,774,car,car,12.98,0.21,1.11,1.87,20.3,25.2,crossing,False,m,-26.0,-24.2,41,critical,high
1111,1262,lgv,car,22.42,0.21,2.15,3.31,32.6,42.8,head-on,False,m,-3.5,-29.4,28,critical,high
45,189,motorcycle,motorcycle,8.07,0.22,0.45,1.44,20.9,22.0,following/vulnerable-road-user,True,m,-83.2,-2.6,148,critical,high
129,177,bus,car,1.83,0.22,0.82,1.68,20.9,24.0,merging,False,m,16.0,-42.8,25,critical,high
50,329,hgv,car,3.8,0.22,1.01,1.82,20.5,24.6,crossing,False,m,16.2,-42.9,21,critical,high
2806,2913,car,car,59.63,0.22,1.12,2.57,33.3,37.0,head-on,False,m,-65.1,-0.0,25,critical,high
1600,1622,hgv,car,28.86,0.22,1.9,2.63,20.3,29.4,merging,False,m,16.7,-42.2,18,critical,high
50,2320,hgv,car,44.98,0.23,1.01,1.85,20.2,24.1,following,False,m,16.1,-42.5,28,critical,high
2320,2350,car,hgv,44.98,0.23,1.04,1.87,20.1,24.2,crossing,False,m,16.1,-42.5,12,critical,high
50,1622,hgv,car,28.86,0.23,1.89,2.63,20.4,29.3,merging,False,m,16.7,-42.2,18,critical,high
22,52,car,car,14.75,0.24,1.41,2.34,22.5,28.2,crossing,False,m,-92.6,-1.0,51,critical,high
1091,1305,motorcycle,car,23.92,0.26,0.85,1.48,13.7,16.7,crossing/vulnerable-road-user,True,m,-92.8,-1.2,27,critical,high
14,474,car,pedestrian,6.57,0.29,0.91,1.8,16.6,19.2,crossing/vulnerable-road-user,True,m,-22.7,-27.2,9,critical,high
14,25,car,motorcycle,5.84,0.3,1.04,1.95,16.7,19.8,crossing/vulnerable-road-user,True,m,-18.4,-28.0,33,critical,high
1285,1315,car,car,24.46,0.3,2.04,3.07,20.2,27.1,head-on,False,m,-23.5,10.7,11,critical,high
52,631,car,car,32.7,0.31,0.91,2.18,20.7,22.7,crossing,False,m,-93.1,-0.8,54,critical,high
40,52,motorcycle,car,12.14,0.31,1.18,2.29,19.2,22.5,following/vulnerable-road-user,True,m,-92.9,-1.2,90,critical,high
631,1760,car,lgv,32.7,0.33,0.87,2.23,20.5,22.2,merging,False,m,-93.1,-0.8,40,critical,high
2601,2608,motorcycle,motorcycle,51.32,0.37,0.31,1.31,12.1,12.5,merging/vulnerable-road-user,True,m,-75.9,-7.8,10,critical,high
269,433,car,car,5.64,0.39,1.1,3.05,24.3,26.1,merging,False,m,-92.5,-1.1,37,critical,high
14,606,car,motorcycle,12.21,0.4,0.72,1.72,12.8,14.0,crossing/vulnerable-road-user,True,m,-44.8,-19.5,25,critical,high
1896,2516,car,car,49.52,0.4,1.3,3.88,30.8,32.6,head-on,False,m,-41.0,-8.2,22,critical,high
52,1091,car,motorcycle,23.89,0.41,0.8,1.94,14.2,15.6,following/vulnerable-road-user,True,m,-92.6,-1.3,88,critical,high
138,351,car,car,5.44,0.42,0.93,3.18,24.8,25.9,head-on,False,m,-22.6,12.0,46,critical,high
2768,2913,pedestrian,car,58.56,0.45,1.05,2.55,16.9,18.5,head-on/vulnerable-road-user,True,m,-59.2,-1.1,21,critical,high
288,329,bus,car,3.5,0.51,1.02,3.76,24.5,25.5,head-on,False,m,17.1,-43.4,14,critical,high
1896,2084,car,pedestrian,41.64,0.52,0.52,2.28,15.0,15.4,crossing/vulnerable-road-user,True,m,-19.6,-24.9,26,critical,high
