track_id,class,n_obs,duration_s,mean_speed_kph,mean_moving_speed_kph,median_speed_kph,p85_speed_kph,p98_speed_kph,max_speed_kph,mean_speed_ms,p95_accel_ms2,p5_decel_ms2,max_accel_ms2_raw,max_decel_ms2_raw,mean_abs_accel_ms2,accel_exceeds_physical,moving_fraction,mean_speed_px_s,units,basis,length_m,width_m,class_source
1,car,349,11.71,19.52,19.52,19.19,22.5,24.26,25.05,5.42,1.99,-2.45,3.13,-6.31,0.82,False,1.0,63.4,km/h and m/s^2,telemetry-calibrated ground plane (estimate),2.49,2.06,measured_size
2,car,446,15.05,21.17,21.17,21.15,23.58,26.66,26.76,5.88,1.2,-1.67,4.08,-8.32,0.81,False,1.0,74.58,km/h and m/s^2,telemetry-calibrated ground plane (estimate),2.77,2.15,measured_size
3,car,461,15.35,19.6,19.6,19.58,22.31,25.47,25.83,5.45,0.83,-1.16,2.59,-3.75,0.54,False,1.0,95.64,km/h and m/s^2,telemetry-calibrated ground plane (estimate),2.75,1.74,measured_size
4,lgv,1798,59.96,0.46,3.6,3.63,3.88,1.57,4.02,1.0,0.5,-0.5,3.2,-3.28,0.25,False,0.01,1.82,km/h and m/s^2,telemetry-calibrated ground plane (estimate),3.11,2.82,measured_size_overrides_model
5,car,100,3.67,19.78,19.78,19.38,21.32,27.57,29.6,5.49,3.94,-3.46,7.65,-7.98,1.63,False,1.0,56.44,km/h and m/s^2,telemetry-calibrated ground plane (estimate),2.51,1.96,measured_size
6,lgv,375,12.61,6.02,10.55,10.6,16.44,16.99,17.54,2.93,0.99,-1.53,2.31,-1.95,0.65,False,0.49,30.0,km/h and m/s^2,telemetry-calibrated ground plane (estimate),3.34,1.12,measured_size_overrides_model
7,car,1798,59.96,0.53,,,,1.44,2.0,,0.64,-0.54,1.29,-1.4,0.27,False,0.0,1.76,km/h and m/s^2,telemetry-calibrated ground plane (estimate),2.98,2.3,measured_size
8,car,415,13.81,20.03,20.03,20.33,21.98,22.9,23.17,5.56,0.83,-0.65,2.27,-3.06,0.4,False,1.0,68.02,km/h and m/s^2,telemetry-calibrated ground plane (estimate),2.45,1.06,measured_size
9,car,1798,59.96,0.37,,,,0.95,1.46,,0.4,-0.38,0.9,-0.91,0.19,False,0.0,1.48,km/h and m/s^2,telemetry-calibrated ground plane (estimate),2.57,2.39,measured_size
10,car,1798,59.96,0.41,,,,1.41,2.77,,0.41,-0.4,2.13,-2.29,0.2,False,0.0,2.2,km/h and m/s^2,telemetry-calibrated ground plane (estimate),2.97,2.53,measured_size
11,car,1798,59.96,0.33,,,,0.82,1.24,,0.32,-0.29,0.73,-0.94,0.15,False,0.0,1.72,km/h and m/s^2,telemetry-calibrated ground plane (estimate),2.69,2.02,measured_size
12,car,40,1.33,20.21,20.21,20.82,22.59,22.94,22.95,5.61,2.89,-5.3,2.99,-5.71,2.03,False,1.0,56.26,km/h and m/s^2,telemetry-calibrated ground plane (estimate),2.55,2.11,measured_size
13,car,525,17.48,20.55,20.55,21.21,24.74,25.92,26.34,5.71,1.08,-1.25,1.95,-5.27,0.6,False,1.0,75.06,km/h and m/s^2,telemetry-calibrated ground plane (estimate),2.79,2.0,measured_size
14,car,332,13.75,15.42,15.42,15.18,16.78,20.12,27.89,4.28,2.13,-2.27,10.75,-11.81,1.09,True,1.0,70.06,km/h and m/s^2,telemetry-calibrated ground plane (estimate),1.4,0.49,measured_size
15,lgv,1795,59.96,0.4,,,,1.0,1.55,,0.43,-0.42,1.05,-1.14,0.2,False,0.0,2.17,km/h and m/s^2,telemetry-calibrated ground plane (estimate),3.29,1.73,measured_size_overrides_model
