t_start,t_end,vehicles,length,length_unit,avg_time_in_view_s,centre_x,centre_y,track_ids
6.0,8.0,41,82.3,m,30.7,-21.4,-16.1,"4,6,9,10,11,15,16,18,20,25,28,32,34,35,36,39,43,48,50,53,97,120,133,137,159,160,179,223,298,306,325,349,425,429,439,481,553,583,603,606,622"
16.0,18.0,36,80.3,m,37.1,-21.4,-26.9,"4,9,11,15,16,18,32,36,39,48,50,53,97,120,133,159,179,223,271,349,481,515,681,693,705,719,748,774,869,885,901,915,961,1025,1040,1086"
48.0,50.0,35,80.1,m,33.5,-22.1,-24.8,"4,9,11,15,16,18,32,39,48,50,97,179,349,481,748,1025,1293,1859,1885,1985,2082,2146,2228,2287,2315,2344,2387,2405,2453,2465,2466,2511,2515,2560,2573"
14.0,16.0,32,82.0,m,34.3,-13.4,-33.1,"11,15,16,18,32,39,43,48,50,53,97,113,120,133,179,223,349,481,515,681,705,719,748,774,869,885,889,901,915,937,987,1025"
10.0,12.0,31,86.5,m,36.9,-14.9,-21.5,"6,10,11,15,16,18,32,35,39,43,48,50,53,97,120,133,159,160,179,223,232,349,417,429,481,622,681,719,748,765,774"
46.0,48.0,31,71.7,m,33.1,-27.4,-23.7,"4,9,16,18,32,39,48,97,179,271,349,481,748,1025,1293,1810,2042,2072,2082,2146,2228,2248,2287,2296,2315,2344,2387,2405,2453,2465,2466"
44.0,46.0,31,71.5,m,33.2,-27.7,-24.4,"4,9,16,18,32,39,48,97,179,271,349,481,748,1025,1293,1810,1903,2033,2042,2072,2082,2146,2228,2248,2287,2296,2315,2344,2362,2370,2387"
12.0,14.0,30,60.8,m,34.2,-11.4,-31.6,"6,11,15,16,18,32,39,43,48,50,53,97,120,133,179,223,232,349,481,515,681,719,748,774,869,885,889,892,899,901"
18.0,20.0,30,56.0,m,38.4,-16.1,-31.5,"11,15,16,18,32,39,48,50,97,120,133,179,223,271,349,481,515,564,681,693,719,748,869,885,901,915,1025,1086,1155,1181"
38.0,40.0,29,85.1,m,32.4,-20.9,-15.9,"4,9,11,15,16,32,50,223,271,481,748,1025,1287,1293,1407,1554,1654,1732,1859,1882,1885,1903,1935,1972,2033,2042,2070,2072,2082"
40.0,42.0,29,81.3,m,32.1,-20.2,-16.6,"4,9,11,15,16,32,50,223,271,481,748,1025,1287,1293,1654,1732,1859,1882,1885,1903,1935,1972,2033,2042,2070,2072,2082,2146,2212"
4.0,6.0,29,55.3,m,31.9,-14.8,-30.9,"6,11,15,16,18,20,25,28,32,34,39,43,48,50,53,56,97,120,133,179,203,223,306,325,349,402,427,439,481"
50.0,52.0,28,82.3,m,27.8,-18.1,-17.2,"4,9,11,15,16,32,50,481,748,1025,1293,1859,1985,2042,2146,2315,2387,2453,2465,2466,2511,2560,2573,2576,2587,2595,2600,2647"
22.0,24.0,28,56.1,m,40.2,-14.5,-32.0,"11,15,16,18,32,39,48,50,97,133,179,223,271,349,481,515,681,693,719,748,885,915,1025,1155,1181,1199,1287,1319"
24.0,26.0,28,55.9,m,39.8,-15.1,-31.2,"11,15,16,18,32,39,48,50,97,133,179,223,271,349,481,515,681,693,748,915,1025,1155,1181,1199,1287,1319,1416,1424"
26.0,28.0,27,54.5,m,41.2,-16.2,-30.7,"11,15,16,18,32,39,48,50,97,133,179,223,271,349,481,681,693,748,915,984,1025,1155,1181,1199,1287,1424,1467"
54.0,56.0,26,88.9,m,30.9,-19.8,-16.8,"4,9,11,15,16,32,50,481,748,1025,1293,1827,1859,1952,2042,2074,2146,2315,2466,2511,2560,2647,2687,2700,2701,2764"
2.0,4.0,26,56.5,m,32.7,-12.0,-32.0,"6,11,15,16,18,20,25,28,32,39,43,48,50,53,56,97,120,133,179,203,223,288,306,321,325,349"
42.0,44.0,25,64.7,m,30.4,-15.7,-20.3,"11,15,16,50,223,271,481,748,1025,1287,1293,1654,1859,1885,1903,1935,2033,2042,2072,2082,2146,2212,2228,2248,2296"
8.0,10.0,25,56.8,m,37.0,-10.6,-31.4,"6,11,15,16,18,20,32,39,43,48,50,53,97,120,133,179,188,223,232,349,439,481,622,681,719"
28.0,30.0,25,51.3,m,43.2,-15.0,-32.4,"11,15,16,18,32,39,48,50,97,133,179,223,271,349,481,693,748,915,984,1025,1155,1181,1287,1467,1600"
20.0,22.0,24,55.6,m,41.1,-16.4,-31.3,"11,15,16,18,32,39,48,97,120,179,223,271,349,481,515,681,693,719,748,885,915,1155,1181,1199"
0.0,2.0,21,56.3,m,35.9,-10.2,-33.2,"11,15,16,18,20,25,28,32,39,43,48,50,53,56,97,120,129,133,179,203,223"
34.0,36.0,20,66.8,m,35.7,-11.4,-21.4,"11,15,16,32,50,223,271,481,693,748,915,1287,1467,1819,1859,1882,1885,1903,1935,1946"
36.0,38.0,20,66.0,m,35.7,-10.1,-22.8,"11,15,16,32,50,223,271,481,693,748,1025,1287,1407,1819,1859,1882,1885,1903,1935,1946"
52.0,54.0,18,58.2,m,33.9,-7.6,-22.3,"11,15,16,32,50,481,748,1025,1293,1827,1859,2042,2146,2511,2560,2576,2647,2701"
56.0,58.0,16,68.8,m,36.2,-24.7,-13.0,"4,9,11,15,16,32,481,748,1952,2042,2074,2146,2315,2511,2701,2914"
4.0,6.0,13,37.8,m,26.2,-33.8,11.4,"4,9,10,35,36,137,159,160,298,351,417,425,429"
30.0,32.0,12,52.1,m,47.5,-16.0,-17.9,"11,15,16,32,223,271,481,693,748,915,1287,1467"
32.0,34.0,12,44.1,m,41.8,-1.8,-23.4,"11,15,16,32,50,223,481,748,1287,1819,1825,1859"
50.0,52.0,8,30.6,m,46.4,-21.2,-52.9,"18,39,48,97,179,349,2287,2344"
52.0,54.0,8,30.6,m,46.4,-21.2,-53.0,"18,39,48,97,179,349,2287,2344"
54.0,56.0,8,30.6,m,39.9,-21.2,-53.1,"39,48,97,179,349,2287,2344,2815"
56.0,58.0,8,30.6,m,32.5,-21.9,-53.4,"39,48,97,179,2344,2815,2905,2912"
58.0,60.0,8,30.1,m,47.1,-6.8,-17.7,"11,15,16,32,481,748,2042,2511"
32.0,34.0,8,28.7,m,48.6,-23.2,-52.5,"18,39,48,97,179,349,1025,1858"
8.0,10.0,8,21.3,m,28.5,-27.3,15.6,"10,35,159,160,417,429,603,693"
58.0,60.0,7,30.6,m,36.9,-21.4,-52.3,"39,48,97,179,2344,2905,2912"
30.0,32.0,7,25.7,m,55.4,-23.7,-52.2,"18,39,48,97,179,349,1025"
42.0,44.0,7,21.9,m,50.8,-22.7,-55.4,"18,39,48,97,179,349,2287"
34.0,36.0,7,21.7,m,49.2,-22.6,-55.0,"18,39,48,97,179,349,1858"
26.0,28.0,7,21.4,m,23.5,-29.5,14.3,"10,35,159,1482,1490,1563,1581"
44.0,46.0,7,21.1,m,31.1,13.5,-35.8,"11,15,50,1859,1885,2350,2377"
52.0,54.0,7,18.4,m,22.7,-47.4,-0.1,"4,9,2315,2453,2466,2687,2700"
44.0,46.0,6,24.4,m,23.5,-83.2,-2.6,"7,52,2121,2217,2310,2341"
58.0,60.0,6,24.0,m,27.5,-46.3,-4.2,"4,9,2074,2315,2687,2914"
40.0,42.0,6,21.9,m,57.3,-23.3,-54.8,"18,39,48,97,179,349"
36.0,38.0,6,21.8,m,57.3,-23.2,-54.6,"18,39,48,97,179,349"
38.0,40.0,6,21.7,m,57.3,-23.2,-54.7,"18,39,48,97,179,349"
46.0,48.0,6,21.1,m,36.2,13.2,-34.7,"11,15,50,1859,1885,2377"
0.0,2.0,6,18.7,m,29.3,-47.2,0.8,"4,9,36,47,137,159"
2.0,4.0,6,18.6,m,29.3,-47.1,0.6,"4,9,36,47,137,159"
14.0,16.0,6,18.6,m,30.0,-46.3,0.9,"4,9,36,159,961,1040"
18.0,20.0,6,18.6,m,30.0,-46.2,0.9,"4,9,36,159,961,1040"
20.0,22.0,6,18.6,m,30.0,-46.2,1.0,"4,9,36,159,961,1040"
46.0,48.0,5,17.4,m,27.6,-87.5,-0.2,"7,52,2121,2341,2419"
28.0,30.0,5,13.4,m,27.4,-27.7,16.4,"10,35,1490,1563,1581"
36.0,38.0,5,12.4,m,29.7,-49.7,0.6,"4,9,1554,1732,1972"
12.0,14.0,5,8.8,m,30.8,-25.9,20.2,"10,35,160,417,877"
42.0,44.0,4,18.9,m,21.6,-76.0,-4.4,"7,1793,2121,2217"
30.0,32.0,4,13.4,m,33.8,-28.0,18.0,"10,35,1490,1563"
32.0,34.0,4,13.4,m,33.8,-28.0,18.0,"10,35,1490,1563"
32.0,34.0,4,12.5,m,35.4,-49.5,-0.2,"4,9,1554,1732"
