track_id,class,class_source,first_t,last_t,visible_s,n_obs,path_len_m,path_len_px,mean_speed_kph,max_speed_kph,mean_speed_px_s,stationary_s,longest_stop_s,stop_start_t,entry_bearing_deg,exit_bearing_deg,turn_delta_deg,turn_type,footprint_p90_m,length_m,width_m,last_x,last_y
1,car,measured_size,0.0,11.71,11.71,349,63.2,,19.5,25.0,63.4,0.0,0.0,,290.6,285.5,-1.3,straight,3.21,2.49,2.06,1862.3,12.4
52,car,measured_size,0.0,59.96,59.96,1770,17.4,,0.8,4.2,2.5,59.53,45.75,0.0,108.6,285.0,-45.8,left,3.05,2.9,2.15,1686.9,66.9
15,lgv,measured_size_overrides_model,0.0,59.96,59.96,1795,8.0,,0.4,1.5,2.2,59.96,59.96,0.0,173.1,292.8,,unknown,3.61,3.29,1.73,438.6,999.2
19,car,model_only_insufficient_geometry,0.0,1.83,1.83,55,9.3,,18.8,20.4,113.5,0.0,0.0,,11.6,0.3,,unknown,1.3,,,1590.9,1080.0
11,car,measured_size,0.0,59.96,59.96,1798,6.3,,0.3,1.2,1.7,59.96,59.96,0.0,130.7,317.4,,unknown,3.1,2.69,2.02,543.1,937.2
50,hgv,measured_size_large,0.0,59.96,59.96,1423,10.9,,0.5,4.0,2.7,59.49,53.49,6.47,150.9,322.3,,unknown,5.11,4.77,2.12,153.1,915.3
17,car,measured_size,0.0,7.17,7.17,214,43.6,,22.1,27.2,67.9,0.0,0.0,,292.4,286.6,-1.6,straight,2.37,2.8,0.95,1813.2,11.8
28,car,measured_size,0.0,7.61,7.61,222,15.7,,7.5,11.9,30.7,0.0,0.0,,224.4,312.2,59.6,right,2.08,2.17,0.96,1165.6,445.2
32,car,measured_size_overrides_model,0.0,59.96,59.96,1296,5.6,,0.3,1.0,1.7,59.96,59.96,0.0,164.1,269.8,,unknown,2.8,2.36,1.97,852.5,932.6
54,motorcycle,model_reliable_for_this_class,0.0,2.34,2.34,55,13.1,,21.0,31.3,63.9,0.0,0.0,,288.3,291.1,2.3,straight,1.47,1.87,0.49,1728.4,69.8
45,motorcycle,model_reliable_for_this_class,0.0,8.81,8.81,232,49.0,,20.7,25.3,73.3,0.0,0.0,,288.9,298.5,2.3,straight,1.41,1.18,0.79,1652.7,120.3
14,car,measured_size,0.0,13.75,13.75,332,58.2,,15.4,27.9,70.1,0.0,0.0,,291.9,286.7,-7.4,straight,1.57,1.4,0.49,1191.6,344.5
36,car,measured_size,0.0,20.72,20.72,243,4.2,,0.6,2.1,2.4,20.72,20.72,0.0,86.2,265.0,,unknown,3.38,2.71,2.43,1471.9,518.3
22,car,measured_size,0.0,16.08,16.08,422,105.0,,23.3,41.6,92.9,0.0,0.0,,288.6,290.4,-0.6,straight,1.47,1.26,0.68,1758.1,42.5
24,motorcycle,model_reliable_for_this_class,0.0,18.59,18.59,499,118.9,,23.2,33.3,92.1,0.0,0.0,,293.1,289.9,-1.5,straight,1.46,1.38,0.5,1787.0,30.0
10,car,measured_size,0.0,59.96,59.96,1798,8.0,,0.4,2.8,2.2,59.96,59.96,0.0,143.1,297.7,,unknown,3.6,2.97,2.53,1552.9,1006.8
41,car,measured_size,0.0,7.31,7.31,165,37.3,,19.5,32.4,63.7,0.0,0.0,,291.8,291.0,0.4,straight,1.35,1.69,0.39,1751.7,55.3
7,car,measured_size,0.0,59.96,59.96,1798,10.0,,0.5,2.0,1.8,59.96,59.96,0.0,130.7,283.3,,unknown,3.15,2.98,2.3,1712.5,245.0
13,car,measured_size,0.0,17.48,17.48,525,99.6,,20.6,26.3,75.1,0.0,0.0,,292.5,287.6,-0.7,straight,3.48,2.79,2.0,1854.6,15.9
30,pedestrian,model_reliable_for_this_class,0.0,4.0,4.0,119,4.8,,4.3,8.2,15.5,0.4,0.37,1.8,219.5,259.8,,unknown,0.68,1.33,0.4,1122.7,368.7
38,motorcycle,model_reliable_for_this_class,0.0,10.81,10.81,301,63.6,,21.3,29.6,70.4,0.0,0.0,,290.8,290.7,-0.9,straight,1.38,1.44,0.57,1806.5,18.0
53,car,measured_size,0.0,16.32,16.32,96,1.2,,0.2,0.8,1.0,16.32,16.32,0.0,165.8,139.1,,unknown,1.88,1.61,1.12,572.2,596.3
25,motorcycle,model_reliable_for_this_class,0.0,16.72,16.72,333,56.8,,10.9,41.6,38.4,1.64,1.6,0.0,145.9,192.6,35.7,right,1.67,1.5,0.72,359.8,85.9
37,motorcycle,model_reliable_for_this_class,0.0,15.68,15.68,424,99.8,,22.9,36.5,83.8,0.0,0.0,,292.5,289.0,-0.9,straight,1.51,1.44,0.72,1816.5,11.2
